"report_date","data_date","Country","confirmed_cases_total","cases_total_china_exposure","cases_total_outside_china_exposure_international","cases_total_local_exposure","cases_total_unknown_exposure","country_of_exposure","second_country_of_exposure","transmission_classification","source","accessed_by","accessed_date","notes","notes2","source2","accessed_by2","accessed_date2","notes3"
2020-02-14,2020-02-14,"The United Kingdom",9,2,6,0,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"Italy",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"Russian Federation",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"Spain",2,0,2,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"Belgium",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"Finland",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"Sweden",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"United Arab Emirates",8,6,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-14,2020-02-14,"International Conveyance (Japan)",218,0,NA,0,218,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200214-sitrep-25-covid-19.pdf?sfvrsn=61dda7d_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Singapore",67,22,0,44,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Japan",41,25,0,16,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Republic of Korea",28,13,1,12,2,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Malaysia",21,16,1,2,2,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,"one case had travel history to China but most likely contracted virus in Malaysia",NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Viet Nam",16,8,0,8,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Australia",15,12,3,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,"no local transmission until march 2nd","http://theconversation.com/first-locally-transmitted-covid-19-cases-in-australia-as-attorney-general-warns-drastic-legal-powers-could-be-used-132779","TCO",2020-03-03,NA
2020-02-15,2020-02-15,"Philippines",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Cambodia",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Thailand",34,23,0,7,4,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"India",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Sri Lanka",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"United States of America",15,13,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","TCO",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Canada",7,6,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Germany",16,2,0,14,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"France",11,5,0,6,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"The United Kingdom",9,2,6,0,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Italy",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Russian Federation",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Spain",2,0,2,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Belgium",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Finland",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Sweden",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"United Arab Emirates",8,6,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-15,2020-02-15,"Egypt",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,"https://www.egypttoday.com/Article/1/81641/Egypt-announces-first-Coronavirus-infection","TCO",2020-03-09,"Chinese man detected at Cairo international airport, tested positive, showing no symptoms"
2020-02-15,2020-02-15,"International Conveyance (Japan)",218,0,NA,0,218,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200215-sitrep-26-covid-19.pdf?sfvrsn=a4cc6787_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Singapore",72,22,0,49,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Japan",53,26,0,27,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Republic of Korea",29,13,1,13,2,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Malaysia",22,18,2,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Viet Nam",16,8,0,8,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Australia",15,12,3,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,"no local transmission until march 2nd","http://theconversation.com/first-locally-transmitted-covid-19-cases-in-australia-as-attorney-general-warns-drastic-legal-powers-could-be-used-132780","TCO",2020-03-03,NA
2020-02-16,2020-02-16,"Philippines",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Cambodia",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Thailand",34,23,0,7,4,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"India",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Sri Lanka",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"United States of America",15,13,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","TCO",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Canada",7,6,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Germany",16,2,0,14,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"France",12,5,0,7,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,"France’s latest case is a British person who, like five other infected Britons, had stayed in an Alpine chalet with a businessman from England who had attended a conference in Singapore.","https://time.com/5785366/coronavirus-death-outside-asia-france/","CAS",2020-03-04,NA
2020-02-16,2020-02-16,"The United Kingdom",9,2,6,0,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Italy",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Russian Federation",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Spain",2,0,2,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Belgium",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Finland",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Sweden",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"United Arab Emirates",8,6,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"Egypt",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-16,2020-02-16,"International Conveyance (Japan)",355,0,NA,1,355,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200216-sitrep-27-covid-19.pdf?sfvrsn=78c0eb78_4","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Singapore",75,22,0,52,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Japan",59,26,0,33,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Republic of Korea",30,13,1,14,2,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Malaysia",22,18,2,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Viet Nam",16,8,0,8,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Australia",15,12,3,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,"no local transmission until march 2nd","http://theconversation.com/first-locally-transmitted-covid-19-cases-in-australia-as-attorney-general-warns-drastic-legal-powers-could-be-used-132781","TCO",2020-03-03,NA
2020-02-17,2020-02-17,"Philippines",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Cambodia",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Thailand",35,23,0,6,6,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"India",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Sri Lanka",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"United States of America",15,13,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","TCO",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Canada",7,6,0,1,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Germany",16,2,0,14,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"France",12,5,0,7,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"The United Kingdom",9,2,6,0,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Italy",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Russian Federation",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Spain",2,0,2,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Belgium",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Finland",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Sweden",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"United Arab Emirates",9,6,0,3,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"Egypt",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-17,2020-02-17,"International Conveyance (Japan)",454,0,NA,0,454,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200217-sitrep-28-covid-19.pdf?sfvrsn=a19cf2ad_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Singapore",77,23,0,53,1,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Japan",65,26,0,39,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Republic of Korea",31,13,1,15,2,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Malaysia",22,18,2,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Viet Nam",16,8,0,8,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Australia",15,12,3,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,"no local transmission until march 2nd","http://theconversation.com/first-locally-transmitted-covid-19-cases-in-australia-as-attorney-general-warns-drastic-legal-powers-could-be-used-132782","TCO",2020-03-03,NA
2020-02-18,2020-02-18,"Philippines",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Cambodia",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Thailand",35,23,0,6,6,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"India",3,3,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Nepal",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"Sri Lanka",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","OTT",2020-03-01,NA,NA,NA,NA,NA,NA
2020-02-18,2020-02-18,"United States of America",15,13,0,2,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200218-sitrep-29-covid-19.pdf?sfvrsn=6262de9e_2","TCO",2020-03-01,NA,NA,NA,NA,NA,NA
